VALUE char=2A29 hex=4b6c69707363682047726f75702c20496e632e
VALUE char=2A24 hex=31303733343531
VALUE char=2A25 hex=5245444143544544
VALUE char=2A27 hex=31
VALUE char=2A26 hex=312e302e31
VALUE char=DA6D0FA2-0D18-442C-BABE-F85B5BAA6F11 hex=14
VALUE char=DA6D0FA3-0D18-442C-BABE-F85B5BAA6F11 hex=00
VALUE char=DA6D0FA4-0D18-442C-BABE-F85B5BAA6F11 hex=16
VALUE char=DA6D0FB2-0D18-442C-BABE-F85B5BAA6F11 hex=00
VALUE char=DA6D0F02-0D18-442C-BABE-F85B5BAA6F11 hex=06
VALUE char=DA6D0F03-0D18-442C-BABE-F85B5BAA6F11 hex=06
VALUE char=DA6D0F04-0D18-442C-BABE-F85B5BAA6F11 hex=06
VALUE char=DA6D0F05-0D18-442C-BABE-F85B5BAA6F11 hex=00
VALUE char=DA6D0F09-0D18-442C-BABE-F85B5BAA6F11 hex=00
VALUE char=DA6D0F16-0D18-442C-BABE-F85B5BAA6F11 hex=06
VALUE char=DA6D0F17-0D18-442C-BABE-F85B5BAA6F11 hex=0000320000010000010096000001000002009001000100000300e803000100000400ac0d000100fe0500401f000100fe
VALUE char=DA6D0F24-0D18-442C-BABE-F85B5BAA6F11 hex=02
VALUE char=DA6D0F27-0D18-442C-BABE-F85B5BAA6F11 hex=00
VALUE char=DA6D0F2C-0D18-442C-BABE-F85B5BAA6F11 hex=01
VALUE char=DA6D0FD2-0D18-442C-BABE-F85B5BAA6F11 hex=02
VALUE char=DA6D0FD5-0D18-442C-BABE-F85B5BAA6F11 hex=00
VALUE char=DA6D0FE5-0D18-442C-BABE-F85B5BAA6F11 hex=01
VALUE char=DA6D0FE6-0D18-442C-BABE-F85B5BAA6F11 hex=50726f4d65646961204c756d696e61
VALUE char=DA6D0FE7-0D18-442C-BABE-F85B5BAA6F11 hex=01
VALUE char=DA6D0FE8-0D18-442C-BABE-F85B5BAA6F11 hex=00
VALUE char=DA6D0FE9-0D18-442C-BABE-F85B5BAA6F11 hex=8403
VALUE char=DA6D0FEA-0D18-442C-BABE-F85B5BAA6F11 hex=1e1e
VALUE char=DA6D0FEB-0D18-442C-BABE-F85B5BAA6F11 hex=01
VALUE char=DA6D0FEF-0D18-442C-BABE-F85B5BAA6F11 hex=
VALUE char=DA6D0FF0-0D18-442C-BABE-F85B5BAA6F11 hex=
VALUE char=DA6D0FF1-0D18-442C-BABE-F85B5BAA6F11 hex=
VALUE char=DA6D0FF2-0D18-442C-BABE-F85B5BAA6F11 hex=03
VALUE char=DA6D0FF3-0D18-442C-BABE-F85B5BAA6F11 hex=ff0000000000
VALUE char=DA6D0FCA-0D18-442C-BABE-F85B5BAA6F11 hex=42542c312e302e31
VALUE char=DA6D0FCB-0D18-442C-BABE-F85B5BAA6F11 hex=26628201111c
VALUE char=DA6D0FF9-0D18-442C-BABE-F85B5BAA6F11 hex=
VALUE char=DA6D0FFA-0D18-442C-BABE-F85B5BAA6F11 hex=
VALUE char=DA6D0FFB-0D18-442C-BABE-F85B5BAA6F11 hex=
VALUE char=DA6D0FFC-0D18-442C-BABE-F85B5BAA6F11 hex=
VALUE char=DA6D0FFD-0D18-442C-BABE-F85B5BAA6F11 hex=
VALUE char=DA6D0FFE-0D18-442C-BABE-F85B5BAA6F11 hex=
VALUE char=DA6D0FFF-0D18-442C-BABE-F85B5BAA6F11 hex=
